order_id,base_demand,variance,order_frequency,urgency_probability
ORD_001,10.0,0.29,0.51,0.09
ORD_002,7.0,0.17,0.87,0.15
ORD_003,13.0,0.37,0.54,0.11
ORD_004,19.0,0.11,0.61,0.13
ORD_005,26.0,0.11,0.6,0.15
ORD_006,3.0,0.26,0.61,0.14
ORD_007,5.0,0.34,0.5,0.17
ORD_008,9.0,0.31,0.67,0.07
ORD_009,16.0,0.39,0.67,0.06
ORD_010,16.0,0.13,0.92,0.14
ORD_011,12.0,0.34,0.86,0.13
ORD_012,19.0,0.39,0.69,0.13
ORD_013,23.0,0.35,0.81,0.18
ORD_014,20.0,0.27,0.85,0.06
ORD_015,8.0,0.17,0.64,0.06
ORD_016,19.0,0.17,0.55,0.09
ORD_017,2.0,0.29,0.68,0.11
ORD_018,12.0,0.16,0.63,0.19
ORD_019,17.0,0.29,0.8,0.08
ORD_020,9.0,0.32,0.58,0.11
ORD_021,11.0,0.4,0.82,0.13
ORD_022,18.0,0.31,0.92,0.17
ORD_023,29.0,0.17,0.52,0.1
ORD_024,3.0,0.18,0.61,0.19
ORD_025,6.0,0.36,0.66,0.15
ORD_026,17.0,0.22,0.96,0.12
ORD_027,16.0,0.18,0.62,0.13
ORD_028,16.0,0.18,0.79,0.18
ORD_029,9.0,0.22,0.61,0.2
ORD_030,21.0,0.25,0.55,0.06
ORD_031,27.0,0.13,0.81,0.17
ORD_032,23.0,0.23,0.53,0.11
ORD_033,11.0,0.4,0.76,0.2
ORD_034,14.0,0.36,0.51,0.16
ORD_035,8.0,0.3,0.77,0.09
ORD_036,5.0,0.29,0.56,0.12
ORD_037,8.0,0.24,0.98,0.18
ORD_038,16.0,0.18,0.75,0.08
ORD_039,31.0,0.37,0.94,0.09
ORD_040,9.0,0.29,0.8,0.07
ORD_041,5.0,0.33,0.77,0.17
ORD_042,5.0,0.26,0.5,0.1
ORD_043,7.0,0.11,0.96,0.18
ORD_044,18.0,0.35,0.65,0.06
ORD_045,16.0,0.36,0.97,0.06
ORD_046,1.0,0.25,0.53,0.16
ORD_047,27.0,0.33,0.56,0.12
ORD_048,36.0,0.26,0.63,0.18
ORD_049,30.0,0.23,0.61,0.13
ORD_050,13.0,0.32,0.6,0.1
ORD_051,10.0,0.4,0.82,0.12
ORD_052,9.0,0.26,0.56,0.08
ORD_053,14.0,0.2,0.79,0.08
ORD_054,18.0,0.17,0.54,0.14
ORD_055,2.0,0.17,0.95,0.18
ORD_056,6.0,0.12,0.62,0.15
ORD_057,7.0,0.16,0.57,0.19
ORD_058,18.0,0.27,0.74,0.17
ORD_059,28.0,0.34,0.6,0.06
ORD_060,3.0,0.23,0.71,0.12
ORD_061,13.0,0.32,0.84,0.2
ORD_062,19.0,0.13,0.7,0.1
ORD_063,10.0,0.36,0.62,0.08
ORD_064,9.0,0.23,0.71,0.09
ORD_065,20.0,0.17,0.96,0.12
ORD_066,25.0,0.36,0.78,0.06
ORD_067,25.0,0.4,0.92,0.2
ORD_068,36.0,0.38,0.92,0.07
ORD_069,6.0,0.25,0.61,0.11
ORD_070,5.0,0.12,0.69,0.2
ORD_071,15.0,0.18,0.89,0.12
ORD_072,25.0,0.23,0.98,0.2
ORD_073,9.0,0.27,0.86,0.07
ORD_074,8.0,0.19,0.98,0.14
ORD_075,18.0,0.26,0.87,0.06
ORD_076,13.0,0.28,0.75,0.18
ORD_077,14.0,0.15,0.98,0.06
ORD_078,3.0,0.16,0.8,0.15
ORD_079,23.0,0.17,0.56,0.18
ORD_080,6.0,0.17,0.8,0.14
ORD_081,26.0,0.23,0.79,0.13
ORD_082,16.0,0.38,0.6,0.16
ORD_083,11.0,0.17,0.7,0.15
ORD_084,7.0,0.19,0.66,0.16
ORD_085,41.0,0.12,0.73,0.2
ORD_086,35.0,0.4,0.54,0.08
ORD_087,26.0,0.18,0.97,0.18
ORD_088,9.0,0.36,0.68,0.07
ORD_089,15.0,0.35,0.85,0.14
ORD_090,3.0,0.4,0.83,0.05
ORD_091,1.0,0.35,0.65,0.15
ORD_092,2.0,0.38,0.57,0.07
ORD_093,22.0,0.13,0.78,0.09
ORD_094,27.0,0.28,0.86,0.08
ORD_095,20.0,0.29,0.63,0.12
ORD_096,11.0,0.37,0.92,0.06
ORD_097,12.0,0.23,0.64,0.05
ORD_098,10.0,0.33,0.82,0.09
ORD_099,9.0,0.32,0.78,0.11
ORD_100,17.0,0.1,0.54,0.18
