Scenario_Code,Scenario_Name,Method,Delivery_Success_Pct,On_Time_Delivery_Pct,Total_Distance_Km,Total_Fuel_Liters,CO2_Emissions_Kg,Failed_Deliveries,Average_Delay_Mins,Recovery_Time_Sec,Communication_Overhead,Cloud_Dependency
A,Scenario_A_Single_truck_breakdown,Static OR-Tools,100.0,100.0,39.64,13.76,36.86,0,0.0,0.0,0,1.0
A,Scenario_A_Single_truck_breakdown,Rule-Based SWARMRoute,100.0,100.0,39.64,13.76,36.86,0,0.0,0.0005,1,0.5
A,Scenario_A_Single_truck_breakdown,PPO-SWARMRoute,100.0,100.0,39.64,13.76,36.86,0,0.0,0.0,0,0.5
B,Scenario_B_Two_truck_breakdowns,Static OR-Tools,100.0,100.0,39.64,13.76,36.86,0,0.0,0.0,0,1.0
B,Scenario_B_Two_truck_breakdowns,Rule-Based SWARMRoute,100.0,100.0,39.64,13.76,36.86,0,0.0,0.0001,1,0.5
B,Scenario_B_Two_truck_breakdowns,PPO-SWARMRoute,100.0,100.0,39.64,13.76,36.86,0,0.0,0.0,0,0.5
C,Scenario_C_Traffic_congestion,Static OR-Tools,100.0,100.0,39.64,13.76,36.86,0,0.0,0.0,0,1.0
C,Scenario_C_Traffic_congestion,Rule-Based SWARMRoute,100.0,100.0,39.64,13.76,36.86,0,0.0,0.0,0,0.5
C,Scenario_C_Traffic_congestion,PPO-SWARMRoute,100.0,100.0,39.64,13.76,36.86,0,0.0,0.0,0,0.5
D,Scenario_D_Cloud_outage,Static OR-Tools,100.0,100.0,39.64,13.76,36.86,0,0.0,0.0,0,1.0
D,Scenario_D_Cloud_outage,Rule-Based SWARMRoute,100.0,100.0,39.64,13.76,36.86,0,0.0,0.0,0,0.0
D,Scenario_D_Cloud_outage,PPO-SWARMRoute,100.0,100.0,39.64,13.76,36.86,0,0.0,0.0,0,0.0
E,Scenario_E_Cloud_outage_+_truck_breakdown,Static OR-Tools,100.0,100.0,39.64,13.76,36.86,0,0.0,0.0,0,1.0
E,Scenario_E_Cloud_outage_+_truck_breakdown,Rule-Based SWARMRoute,100.0,100.0,39.64,13.76,36.86,0,0.0,0.0,1,0.0
E,Scenario_E_Cloud_outage_+_truck_breakdown,PPO-SWARMRoute,100.0,100.0,39.64,13.76,36.86,0,0.0,0.0,0,0.0
F,Scenario_F_Cloud_outage_+_breakdown_+_traffic,Static OR-Tools,100.0,100.0,39.64,13.76,36.86,0,0.0,0.0,0,1.0
F,Scenario_F_Cloud_outage_+_breakdown_+_traffic,Rule-Based SWARMRoute,100.0,100.0,39.64,13.76,36.86,0,0.0,0.0,1,0.0
F,Scenario_F_Cloud_outage_+_breakdown_+_traffic,PPO-SWARMRoute,100.0,100.0,39.64,13.76,36.86,0,0.0,0.0,0,0.0
G,Scenario_G_Sudden_demand_burst,Static OR-Tools,28.6,28.6,32.29,11.37,30.47,10,0.0,0.0,0,1.0
G,Scenario_G_Sudden_demand_burst,Rule-Based SWARMRoute,28.6,28.6,32.29,11.37,30.47,10,0.0,0.0,0,0.5
G,Scenario_G_Sudden_demand_burst,PPO-SWARMRoute,28.6,28.6,32.29,11.37,30.47,10,0.0,0.0,0,0.5
H,Scenario_H_Combined_disruption,Static OR-Tools,28.6,28.6,32.29,11.37,30.47,10,0.0,0.0,0,1.0
H,Scenario_H_Combined_disruption,Rule-Based SWARMRoute,28.6,28.6,32.29,11.37,30.47,10,0.0,0.0001,2,0.0
H,Scenario_H_Combined_disruption,PPO-SWARMRoute,28.6,28.6,32.29,11.37,30.47,10,0.0,0.0,0,0.0
